Step,Regret
1,[0.07558017]
2,[0.07558017]
3,[0.07136525]
4,[0.07136525]
5,[0.00674849]
6,[0.00674849]
7,[0.00674849]
8,[0.00674849]
9,[0.00674849]
10,[0.00674849]
11,[0.00674849]
12,[0.00674849]
13,[0.00674849]
14,[0.00674849]
15,[0.00674849]
16,[0.00674849]
17,[0.00674849]
18,[0.00674849]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.11632953]
2,[0.11632953]
3,[0.00933671]
4,[0.00933671]
5,[0.00216111]
6,[0.00216111]
7,[0.00216111]
8,[0.00216111]
9,[0.00216111]
10,[0.00216111]
11,[0.00216111]
12,[0.00216111]
13,[0.00216111]
14,[0.00216111]
15,[0.00216111]
16,[0.00216111]
17,[0.00216111]
18,[0.00216111]
19,[0.00216111]
20,[0.00216111]
21,[0.00216111]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.10295905]
2,[0.08623423]
3,[0.08623423]
4,[0.00641666]
5,[0.00641666]
6,[0.00641666]
7,[0.00641666]
8,[0.00641666]
9,[0.00641666]
10,[0.00641666]
11,[0.00641666]
12,[0.00641666]
13,[0.00641666]
14,[0.00641666]
15,[0.00641666]
16,[0.00641666]
17,[0.00641666]
18,[0.00641666]
19,[0.00641666]
20,[0.00641666]
21,[0.00641666]
22,[0.00641666]
23,[0.00641666]
24,[0.00641666]
25,[0.00641666]
26,[0.00641666]
27,[0.00641666]
28,[0.00641666]
29,[0.00641666]
30,[0.00641666]
31,[0.00641666]
32,[0.00641666]
33,[0.00641666]
34,[0.00641666]
35,[0.00641666]
