Step,Regret
1,[0.05607555]
2,[0.05607555]
3,[0.05607555]
4,[0.05607555]
5,[0.05607555]
6,[0.05607555]
7,[0.05607555]
8,[0.05607555]
9,[0.05607555]
10,[0.05607555]
11,[0.05607555]
12,[0.05607555]
13,[0.05607555]
14,[0.05607555]
15,[0.05607555]
16,[0.05607555]
17,[0.05607555]
18,[0.05607555]
19,[0.05607555]
20,[0.05607555]
21,[0.05607555]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.07592721]
2,[0.07592721]
3,[0.07592721]
4,[0.]
5,[0.]
6,[0.]
7,[0.]
8,[0.]
9,[0.]
10,[0.]
11,[0.]
12,[0.]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.02353517]
2,[0.02353517]
3,[0.02353517]
4,[0.02353517]
5,[0.02353517]
6,[0.02353517]
7,[0.02353517]
8,[0.02353517]
9,[0.02353517]
10,[0.02353517]
11,[0.02353517]
12,[0.02353517]
13,[0.02353517]
14,[0.02353517]
15,[0.02353517]
16,[0.02353517]
17,[0.02353517]
18,[0.02353517]
19,[0.02353517]
20,[0.01206391]
21,[0.00058209]
22,[0.00058209]
23,[0.00058209]
24,[0.00058209]
25,[0.00058209]
26,[0.00058209]
27,[0.00058209]
28,[0.00058209]
29,[0.00058209]
30,[0.00058209]
31,[0.00058209]
32,[0.00058209]
33,[0.00058209]
34,[0.00058209]
35,[0.00058209]
36,[0.00058209]
37,[0.00058209]
38,[0.00058209]
39,[0.00058209]
40,[0.00058209]
41,[0.00058209]
42,[0.00058209]
43,[0.00058209]
44,[0.00058209]
45,[0.00058209]
46,[0.00058209]
47,[0.00058209]
48,[0.00058209]
49,[0.00058209]
50,[0.00058209]
51,[0.00058209]
52,[0.00058209]
53,[0.00058209]
54,[0.00058209]
55,[0.00058209]
56,[0.00058209]
57,[0.00058209]
58,[0.00058209]
59,[0.00058209]
60,[0.00058209]
61,[0.00058209]
62,[0.00058209]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.08060519]
2,[0.08060519]
3,[0.08060519]
4,[0.08060519]
5,[0.08060519]
6,[0.0272474]
7,[0.0272474]
8,[0.0272474]
9,[0.0272474]
10,[0.0272474]
11,[0.0272474]
12,[0.0272474]
13,[0.0272474]
14,[0.0272474]
15,[0.0272474]
16,[0.0272474]
17,[0.0272474]
18,[0.0272474]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.06639689]
2,[0.06099224]
3,[0.06099224]
4,[0.06099224]
5,[0.]
6,[0.]
7,[0.]
8,[0.]
9,[0.]
10,[0.]
11,[0.]
12,[0.]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.11759885]
2,[0.11759885]
3,[0.11759885]
4,[0.03210972]
5,[0.03210972]
6,[0.03210972]
7,[0.03210972]
8,[0.]
9,[0.]
10,[0.]
11,[0.]
12,[0.]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.24086856]
2,[0.24086856]
3,[0.24086856]
4,[0.24086856]
5,[0.24086856]
6,[0.22610195]
7,[0.22610195]
8,[0.22610195]
9,[0.22610195]
10,[0.22610195]
11,[0.22610195]
12,[0.22610195]
13,[0.22610195]
14,[0.09275269]
15,[0.09275269]
16,[0.09275269]
17,[0.09275269]
18,[0.09275269]
19,[0.09275269]
20,[0.09275269]
21,[0.09275269]
22,[0.09275269]
23,[0.09275269]
24,[0.09275269]
25,[0.09275269]
26,[0.09275269]
27,[0.09275269]
28,[0.09275269]
29,[0.09275269]
30,[0.09275269]
31,[0.09275269]
32,[0.09275269]
33,[0.09275269]
34,[0.09275269]
35,[0.09275269]
36,[0.09275269]
37,[0.09275269]
38,[0.09275269]
39,[0.09275269]
40,[0.09275269]
41,[0.09275269]
42,[0.09275269]
43,[0.09275269]
44,[0.08706916]
45,[0.08706916]
46,[0.08706916]
47,[0.08706916]
48,[0.08706916]
49,[0.08706916]
50,[0.08706916]
51,[0.08706916]
52,[0.08706916]
53,[0.08706916]
54,[0.08706916]
55,[0.08706916]
56,[0.08706916]
57,[0.08706916]
58,[0.08706916]
59,[0.08706916]
60,[0.08706916]
61,[0.08706916]
62,[0.08706916]
63,[0.08706916]
64,[0.08706916]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.02598299]
2,[0.02528123]
3,[0.00189757]
4,[0.00189757]
5,[0.00189757]
6,[0.00189757]
7,[0.00189757]
8,[0.00189757]
9,[0.00189757]
10,[0.00189757]
11,[0.00189757]
12,[0.00189757]
13,[0.00189757]
14,[0.00189757]
15,[0.00189757]
16,[0.00189757]
