Step,Regret
1,[0.01656294]
2,[0.]
3,[0.]
4,[0.]
1,[0.21161573]
2,[0.20095538]
3,[0.00032905]
4,[0.]
5,[0.]
6,[0.]
7,[0.]
8,[0.]
9,[0.]
10,[0.]
11,[0.]
12,[0.]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
1,[0.00737421]
2,[0.00737421]
3,[0.00737421]
4,[0.00737421]
5,[0.00737421]
6,[0.00737421]
7,[0.00737421]
8,[0.00737421]
9,[0.00737421]
10,[0.00737421]
11,[0.00737421]
12,[0.00737421]
13,[0.00737421]
1,[0.]
2,[0.]
3,[0.]
4,[0.]
5,[0.]
6,[0.]
7,[0.]
8,[0.]
9,[0.]
10,[0.]
11,[0.]
1,[0.31008293]
2,[0.16982491]
3,[0.1636391]
4,[0.1636391]
5,[0.1636391]
6,[0.1636391]
7,[0.16220416]
8,[0.16220416]
9,[0.15553068]
10,[0.15553068]
11,[0.15553068]
12,[0.15553068]
13,[0.15553068]
14,[0.15553068]
15,[0.15553068]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
1,[0.02493221]
2,[0.02493221]
3,[0.02493221]
4,[0.02493221]
5,[0.02493221]
6,[5.77444667e-05]
7,[5.77444667e-05]
8,[5.77444667e-05]
9,[5.77444667e-05]
10,[5.77444667e-05]
11,[5.77444667e-05]
12,[5.77444667e-05]
13,[5.77444667e-05]
14,[5.77444667e-05]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
1,[0.18882502]
2,[0.18882502]
3,[0.18882502]
4,[0.16121459]
5,[0.16121459]
6,[0.16121459]
7,[0.16121459]
8,[0.16121459]
9,[0.16121459]
10,[0.16121459]
11,[0.16121459]
12,[0.16121459]
13,[0.16121459]
14,[0.16121459]
15,[0.16121459]
16,[0.16121459]
17,[0.16121459]
18,[0.16121459]
19,[0.16121459]
20,[0.16121459]
21,[0.16121459]
22,[0.16121459]
23,[0.16121459]
24,[0.16121459]
25,[0.16121459]
26,[0.16121459]
27,[0.16121459]
28,[0.16121459]
29,[0.16121459]
30,[0.16121459]
31,[0.16121459]
32,[0.16121459]
1,[0.02400432]
2,[0.00259322]
3,[0.00259322]
4,[0.00259322]
5,[0.00259322]
6,[0.00259322]
7,[0.00259322]
8,[0.00259322]
9,[0.00259322]
10,[0.00259322]
11,[0.00259322]
12,[0.00259322]
13,[0.00259322]
14,[0.00259322]
15,[0.00259322]
16,[0.00259322]
17,[5.81985778e-05]
18,[5.81985778e-05]
19,[5.81985778e-05]
20,[5.81985778e-05]
21,[5.81985778e-05]
22,[5.81985778e-05]
23,[5.81985778e-05]
24,[5.81985778e-05]
25,[5.81985778e-05]
26,[5.81985778e-05]
27,[5.81985778e-05]
28,[5.81985778e-05]
29,[5.81985778e-05]
30,[5.81985778e-05]
31,[5.81985778e-05]
32,[5.81985778e-05]
33,[5.81985778e-05]
34,[5.81985778e-05]
35,[5.81985778e-05]
36,[5.81985778e-05]
37,[5.81985778e-05]
38,[5.81985778e-05]
39,[5.81985778e-05]
40,[5.81985778e-05]
41,[5.81985778e-05]
1,[0.]
2,[0.]
3,[0.]
4,[0.]
5,[0.]
1,[0.2800189]
2,[0.2800189]
3,[0.2800189]
4,[0.01389606]
5,[0.01389606]
6,[0.01389606]
7,[0.01389606]
8,[0.01389606]
9,[0.01389606]
1,[0.19445143]
2,[0.19445143]
3,[0.19445143]
4,[0.19445143]
5,[0.00094207]
6,[0.00094207]
7,[0.00094207]
8,[0.00094207]
9,[0.00094207]
10,[0.00094207]
11,[0.00094207]
12,[0.00094207]
13,[0.00094207]
14,[0.00094207]
15,[0.00094207]
16,[0.00094207]
17,[0.00094207]
18,[0.00094207]
19,[0.00094207]
20,[0.00094207]
21,[0.00094207]
22,[0.00094207]
23,[0.00094207]
24,[0.00094207]
25,[0.00094207]
26,[0.00094207]
27,[0.00094207]
28,[0.00094207]
29,[0.00094207]
30,[0.00094207]
31,[0.00094207]
32,[0.00094207]
33,[0.00094207]
34,[0.00094207]
35,[0.00094207]
36,[0.00094207]
37,[0.00094207]
38,[0.00094207]
39,[0.00094207]
40,[0.00094207]
41,[0.00094207]
42,[0.00094207]
43,[0.00094207]
44,[0.00094207]
45,[0.00094207]
1,[0.01453593]
2,[0.01453593]
3,[0.01453593]
4,[0.01453593]
5,[0.01453593]
6,[0.01453593]
1,[0.09809292]
2,[0.09809292]
3,[0.09809292]
4,[0.09809292]
5,[0.09701006]
6,[0.09617865]
7,[0.00052692]
8,[0.00052692]
9,[0.]
10,[0.]
11,[0.]
12,[0.]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
1,[0.00448381]
2,[0.00448381]
3,[0.00448381]
4,[0.00448381]
5,[0.00448381]
6,[0.00448381]
7,[0.00448381]
8,[0.00448381]
9,[0.00448381]
10,[0.00448381]
11,[0.00448381]
12,[0.00448381]
13,[0.00448381]
14,[0.00448381]
15,[0.00448381]
16,[0.00448381]
17,[0.00448381]
18,[0.00448381]
19,[0.00448381]
20,[0.00448381]
21,[0.00448381]
22,[0.00448381]
23,[0.00448381]
24,[0.00448381]
25,[0.00448381]
26,[0.00448381]
27,[0.00448381]
28,[0.00448381]
29,[0.00448381]
30,[0.00448381]
31,[0.00448381]
32,[0.00159194]
33,[0.00159194]
34,[0.00159194]
35,[0.00159194]
36,[0.00159194]
37,[0.00159194]
38,[0.00159194]
39,[0.00159194]
40,[0.00159194]
41,[0.00159194]
42,[0.00159194]
43,[0.00159194]
44,[0.00159194]
45,[0.00159194]
46,[0.00159194]
47,[0.00159194]
48,[0.00159194]
49,[0.00159194]
50,[0.00159194]
51,[0.00159194]
52,[0.00159194]
53,[0.00159194]
54,[0.00159194]
55,[0.00159194]
56,[0.00159194]
57,[0.00159194]
58,[0.00159194]
59,[0.00159194]
60,[0.00159194]
61,[0.00159194]
62,[0.00159194]
63,[0.00159194]
64,[0.00159194]
65,[0.00159194]
66,[0.00159194]
67,[0.00159194]
1,[0.04768679]
2,[0.04768679]
3,[0.04768679]
4,[0.04768679]
5,[0.04768679]
6,[0.04768679]
7,[0.04768679]
8,[0.]
9,[0.]
10,[0.]
11,[0.]
12,[0.]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
1,[0.00030084]
2,[0.00030084]
3,[0.00030084]
4,[0.00030084]
1,[0.03051386]
2,[0.02737823]
3,[2.53368959e-05]
4,[2.53368959e-05]
5,[2.53368959e-05]
6,[2.53368959e-05]
7,[2.53368959e-05]
8,[2.53368959e-05]
9,[2.53368959e-05]
1,[0.01756868]
2,[0.01756868]
3,[0.01756868]
4,[0.01756868]
5,[0.01756868]
6,[0.01756868]
7,[0.01594414]
8,[0.01594414]
9,[0.01594414]
10,[0.01594414]
11,[0.01594414]
12,[0.01594414]
13,[0.01594414]
14,[0.01594414]
15,[0.01594414]
16,[0.01594414]
17,[0.01594414]
18,[0.0158127]
19,[0.0158127]
20,[0.01367531]
21,[0.01367531]
22,[0.01174053]
23,[0.01174053]
24,[0.01174053]
25,[0.00802101]
26,[0.00802101]
27,[0.00802101]
28,[0.00802101]
29,[0.00802101]
30,[0.00764694]
31,[0.00531588]
32,[0.00531588]
33,[0.00531588]
34,[0.00531588]
35,[0.00531588]
36,[0.00531588]
37,[0.00531588]
38,[0.00531588]
39,[0.00445306]
40,[0.00445306]
41,[0.00445306]
42,[0.00312026]
43,[0.00268058]
44,[0.00268058]
45,[0.0024899]
46,[0.0024899]
47,[0.00226684]
48,[0.00224347]
49,[0.0012885]
50,[0.0012885]
51,[7.06121098e-05]
52,[7.06121098e-05]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.02304315]
2,[0.02304315]
3,[0.02304315]
4,[0.02304315]
5,[0.02304315]
6,[0.02304315]
7,[0.00459539]
8,[0.00459539]
9,[0.00459539]
10,[0.00459539]
11,[0.00459539]
12,[0.00459539]
13,[0.00459539]
14,[0.00459539]
15,[0.00459539]
16,[0.00459539]
17,[0.00459539]
18,[0.00459539]
19,[0.00459539]
20,[0.00459539]
21,[0.00459539]
22,[0.00459539]
23,[0.00459539]
24,[0.00459539]
25,[0.00459539]
26,[0.00459539]
27,[0.00459539]
28,[0.00459539]
29,[0.00459539]
30,[0.00459539]
31,[0.00459539]
32,[0.00459539]
33,[0.00459539]
34,[0.00459539]
35,[0.00459539]
36,[0.00459539]
37,[0.00459539]
38,[0.00459539]
1,[0.0089276]
2,[0.0089276]
3,[0.0089276]
1,[0.00155783]
2,[0.00155783]
3,[0.00155783]
4,[0.00155783]
5,[0.00155783]
6,[0.00155783]
7,[0.00123515]
8,[0.00123515]
9,[0.00123515]
10,[0.00123515]
11,[0.00123515]
12,[0.00123515]
13,[0.00123515]
14,[0.00123515]
15,[0.00123515]
16,[0.00123515]
17,[0.00123515]
18,[0.00123515]
19,[0.00123515]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
1,[0.35465]
2,[0.35465]
3,[0.35465]
4,[0.35465]
5,[0.]
6,[0.]
7,[0.]
8,[0.]
9,[0.]
10,[0.]
11,[0.]
12,[0.]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
1,[0.14620897]
2,[0.11504555]
3,[0.11504555]
4,[0.11504555]
5,[0.11504555]
6,[0.11504555]
7,[0.11414748]
8,[0.11414748]
9,[0.11414748]
10,[0.11414748]
11,[0.11414748]
12,[0.11414748]
13,[0.11414748]
14,[0.10992606]
15,[0.10992606]
16,[0.10992606]
17,[0.10992606]
18,[0.10992606]
19,[0.10992606]
20,[0.10992606]
21,[0.10992606]
22,[0.10113402]
23,[0.10113402]
24,[0.10113402]
25,[0.10113402]
26,[0.10113402]
27,[0.10018753]
28,[0.10018753]
29,[0.10018753]
30,[0.04112351]
31,[0.04112351]
32,[0.04112351]
1,[0.00027996]
2,[0.00027996]
1,[0.01371861]
2,[0.01371861]
3,[0.01371861]
4,[0.01371861]
5,[0.01371861]
6,[1.81996588e-05]
7,[1.81996588e-05]
8,[1.81996588e-05]
9,[1.81996588e-05]
10,[1.81996588e-05]
11,[1.81996588e-05]
12,[1.81996588e-05]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
1,[0.11990925]
2,[0.]
3,[0.]
4,[0.]
5,[0.]
6,[0.]
7,[0.]
8,[0.]
9,[0.]
10,[0.]
11,[0.]
12,[0.]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
