Step,Regret
1,[0.09672062]
2,[0.09672062]
3,[0.09672062]
4,[0.09672062]
5,[0.09672062]
6,[0.09672062]
7,[0.09672062]
8,[0.09672062]
9,[0.09672062]
10,[0.09672062]
11,[0.09672062]
12,[0.09672062]
13,[0.09672062]
14,[0.09672062]
15,[0.09672062]
16,[0.09672062]
17,[0.09672062]
18,[0.08493058]
19,[0.08493058]
20,[0.08493058]
21,[0.08493058]
22,[0.08493058]
23,[0.08493058]
24,[0.08493058]
25,[0.08493058]
26,[0.08493058]
27,[0.08493058]
28,[0.08493058]
29,[0.08493058]
30,[0.08493058]
31,[0.0781697]
32,[0.0781697]
33,[0.0781697]
34,[0.0781697]
35,[0.0781697]
36,[0.0781697]
37,[0.0781697]
38,[0.0781697]
39,[0.0781697]
40,[0.0781697]
41,[0.0781697]
42,[0.04181508]
43,[0.04181508]
44,[0.04181508]
45,[0.04181508]
46,[0.04181508]
47,[0.04181508]
48,[0.04181508]
49,[0.04181508]
50,[0.04181508]
51,[0.04181508]
52,[0.04181508]
53,[0.04181508]
54,[0.04181508]
55,[0.04181508]
56,[0.04181508]
57,[0.04181508]
58,[0.04181508]
59,[0.04181508]
60,[0.03026834]
61,[0.03026834]
62,[0.03026834]
63,[0.03026834]
64,[0.03026834]
65,[0.01376184]
66,[0.01376184]
67,[0.01376184]
68,[0.01376184]
69,[0.01376184]
70,[0.01376184]
71,[0.01376184]
72,[0.01376184]
73,[0.01376184]
74,[0.01376184]
75,[0.01376184]
76,[0.01376184]
77,[0.01376184]
78,[0.01376184]
79,[0.01376184]
80,[0.01376184]
81,[0.01229106]
82,[0.01229106]
83,[0.01229106]
84,[0.01229106]
85,[0.01229106]
86,[0.01229106]
87,[0.01229106]
88,[0.01229106]
89,[0.01229106]
90,[0.01229106]
91,[0.01229106]
92,[0.01229106]
93,[0.01229106]
94,[0.01229106]
95,[0.01229106]
96,[0.]
97,[0.]
98,[0.]
1,[0.]
2,[0.]
3,[0.]
4,[0.]
5,[0.]
6,[0.]
7,[0.]
8,[0.]
9,[0.]
10,[0.]
11,[0.]
12,[0.]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
77,[0.]
78,[0.]
79,[0.]
80,[0.]
81,[0.]
82,[0.]
83,[0.]
84,[0.]
85,[0.]
86,[0.]
87,[0.]
88,[0.]
89,[0.]
90,[0.]
91,[0.]
92,[0.]
93,[0.]
94,[0.]
95,[0.]
96,[0.]
97,[0.]
98,[0.]
1,[0.02842074]
