Step,Regret
1,[0.04965758]
2,[0.04965758]
3,[0.04965758]
4,[0.04965758]
5,[0.04965758]
6,[0.04965758]
7,[0.04965758]
8,[0.04965758]
9,[0.04965758]
10,[0.04965758]
11,[0.04965758]
12,[0.04965758]
13,[0.04965758]
14,[0.04280238]
15,[0.04280238]
16,[0.04280238]
17,[0.04280238]
18,[0.04280238]
19,[0.04280238]
20,[0.04280238]
21,[0.04280238]
1,[0.12509414]
2,[0.01135359]
3,[0.01135359]
4,[0.01135359]
5,[0.01135359]
6,[0.01135359]
7,[0.01135359]
8,[0.01135359]
9,[0.01135359]
10,[0.01135359]
11,[0.01135359]
12,[0.01135359]
13,[0.01135359]
14,[0.01135359]
15,[0.01135359]
16,[0.01135359]
17,[0.01135359]
18,[0.01135359]
19,[0.01135359]
20,[0.01135359]
21,[0.01135359]
22,[0.01135359]
23,[0.00917876]
24,[0.00917876]
25,[0.00917876]
26,[0.00917876]
27,[0.00917876]
28,[0.00917876]
1,[0.01252549]
2,[0.01252549]
3,[0.01252549]
4,[0.01252549]
5,[0.01252549]
6,[0.01252549]
7,[0.01252549]
8,[0.01252549]
9,[0.]
10,[0.]
11,[0.]
12,[0.]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
1,[0.01993975]
2,[0.01993975]
3,[0.01993975]
4,[0.01993975]
5,[0.01993975]
6,[0.01993975]
7,[0.]
8,[0.]
9,[0.]
10,[0.]
11,[0.]
12,[0.]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
1,[0.15055343]
2,[0.15055343]
3,[0.15055343]
4,[0.02235831]
5,[0.02235831]
6,[0.02235831]
7,[0.02235831]
8,[0.02235831]
9,[0.02235831]
10,[0.02235831]
11,[0.02235831]
12,[0.02235831]
13,[0.01877848]
14,[0.01877848]
15,[0.01877848]
16,[0.01877848]
17,[0.01877848]
18,[0.01877848]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
1,[0.]
2,[0.]
3,[0.]
4,[0.]
5,[0.]
6,[0.]
7,[0.]
8,[0.]
9,[0.]
10,[0.]
11,[0.]
12,[0.]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
1,[0.11860611]
2,[0.09669279]
3,[0.09669279]
4,[0.09669279]
5,[0.09669279]
6,[0.]
7,[0.]
8,[0.]
9,[0.]
10,[0.]
11,[0.]
12,[0.]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
1,[0.01201552]
2,[0.01201552]
3,[0.01201552]
1,[0.02510571]
2,[0.02510571]
3,[0.02510571]
4,[0.02510571]
5,[0.02510571]
6,[0.02510571]
7,[0.02510571]
8,[0.02510571]
9,[0.02510571]
10,[0.02510571]
11,[0.02510571]
12,[0.02510571]
13,[0.02510571]
14,[0.02510571]
15,[0.02510571]
16,[0.02510571]
17,[0.02510571]
18,[0.02510571]
19,[0.02510571]
20,[0.02510571]
21,[0.02510571]
22,[0.02510571]
23,[0.02510571]
24,[0.02510571]
25,[0.02510571]
26,[0.02510571]
27,[0.02510571]
28,[0.02510571]
1,[0.00693376]
1,[0.02161138]
2,[0.02161138]
1,[0.1008005]
2,[0.05689795]
3,[0.03439489]
4,[0.03439489]
5,[0.03439489]
6,[0.03439489]
7,[0.03439489]
8,[0.03439489]
1,[0.]
2,[0.]
3,[0.]
4,[0.]
5,[0.]
6,[0.]
7,[0.]
8,[0.]
9,[0.]
10,[0.]
11,[0.]
12,[0.]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
1,[0.02298977]
2,[0.02298977]
3,[0.02298977]
4,[0.02298977]
5,[0.02298977]
6,[0.02298977]
7,[0.02298977]
8,[0.02298977]
9,[0.02298977]
10,[0.02298977]
11,[0.02298977]
12,[0.02298977]
13,[0.02298977]
14,[0.02298977]
15,[0.02298977]
16,[0.02298977]
17,[0.02298977]
18,[0.02298977]
19,[0.01573676]
20,[0.01573676]
21,[0.01573676]
22,[0.01573676]
23,[0.01573676]
24,[0.01573676]
25,[0.01573676]
26,[0.01573676]
27,[0.01573676]
28,[0.01573676]
29,[0.01573676]
30,[0.01573676]
31,[0.01573676]
32,[0.01573676]
33,[0.01573676]
34,[0.01573676]
35,[0.01573676]
36,[0.01573676]
37,[0.01573676]
38,[0.01573676]
39,[0.01573676]
1,[0.05255379]
2,[0.05255379]
3,[0.05255379]
4,[0.05255379]
5,[0.0494861]
6,[0.0494861]
7,[0.0494861]
8,[0.0494861]
9,[0.0494861]
10,[0.0494861]
11,[0.0494861]
1,[0.12901787]
2,[0.12901787]
3,[0.08795347]
4,[0.08795347]
5,[0.08795347]
6,[0.08795347]
7,[0.08795347]
8,[0.08795347]
9,[0.08795347]
10,[0.03156055]
11,[0.03156055]
12,[0.03156055]
13,[0.03156055]
14,[0.03156055]
15,[0.0307789]
16,[0.0307789]
17,[0.00453214]
18,[0.00453214]
19,[0.00453214]
20,[0.00453214]
21,[0.00453214]
22,[0.00453214]
23,[0.00453214]
24,[0.00453214]
25,[0.00453214]
26,[0.00453214]
27,[0.00453214]
28,[0.00453214]
29,[0.00453214]
30,[0.00453214]
31,[0.00453214]
32,[0.00453214]
33,[0.00453214]
34,[0.00453214]
35,[0.00453214]
36,[0.00453214]
1,[0.0480694]
2,[0.0480694]
3,[0.0480694]
4,[0.0480694]
5,[0.]
6,[0.]
1,[0.]
2,[0.]
3,[0.]
4,[0.]
5,[0.]
6,[0.]
7,[0.]
8,[0.]
9,[0.]
10,[0.]
11,[0.]
12,[0.]
13,[0.]
14,[0.]
15,[0.]
16,[0.]
17,[0.]
18,[0.]
19,[0.]
20,[0.]
21,[0.]
22,[0.]
23,[0.]
24,[0.]
25,[0.]
26,[0.]
27,[0.]
28,[0.]
29,[0.]
30,[0.]
31,[0.]
32,[0.]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
64,[0.]
65,[0.]
66,[0.]
67,[0.]
68,[0.]
69,[0.]
70,[0.]
71,[0.]
72,[0.]
73,[0.]
74,[0.]
75,[0.]
76,[0.]
1,[0.08366693]
2,[0.08366693]
3,[0.06880377]
4,[0.06880377]
5,[0.06880377]
6,[0.06880377]
7,[0.06880377]
8,[0.06880377]
9,[0.06880377]
10,[0.06880377]
11,[0.06880377]
12,[0.06880377]
13,[0.06880377]
14,[0.06880377]
15,[0.06880377]
16,[0.06880377]
17,[0.06880377]
18,[0.06880377]
19,[0.06880377]
20,[0.06880377]
21,[0.06880377]
22,[0.06880377]
23,[0.06880377]
24,[0.06880377]
25,[0.06880377]
26,[0.06880377]
27,[0.06880377]
28,[0.06880377]
29,[0.06880377]
30,[0.06880377]
31,[0.06880377]
32,[0.06880377]
33,[0.]
34,[0.]
35,[0.]
36,[0.]
37,[0.]
38,[0.]
39,[0.]
40,[0.]
41,[0.]
42,[0.]
43,[0.]
44,[0.]
45,[0.]
46,[0.]
47,[0.]
48,[0.]
49,[0.]
50,[0.]
51,[0.]
52,[0.]
53,[0.]
54,[0.]
55,[0.]
56,[0.]
57,[0.]
58,[0.]
59,[0.]
60,[0.]
61,[0.]
62,[0.]
63,[0.]
1,[0.04816501]
2,[0.04816501]
3,[0.03785822]
4,[0.03785822]
5,[0.03785822]
6,[0.03785822]
7,[0.03785822]
8,[0.02101903]
9,[0.02101903]
10,[0.02101903]
11,[0.02101903]
12,[0.00974857]
13,[0.00974857]
