Number of Queries,Regret
17,[0.]
30,[0.]
20,[0.00076309]
16,[0.00902961]
17,[0.]
58,[0.]
5,[0.02969822]
37,[0.00105071]
81,[0.]
28,[0.]
71,[0.]
4,[0.04712617]
87,[0.]
45,[0.]
3,[0.07924652]
12,[0.05414651]
7,[0.]
10,[0.02096102]
17,[0.]
50,[0.0137977]
72,[0.]
74,[0.]
15,[0.00652984]
30,[0.]
53,[0.]
51,[0.]
2,[0.]
49,[0.]
6,[0.04821636]
33,[0.]
40,[0.]
5,[0.01634625]
79,[0.]
14,[0.]
71,[0.]
2,[0.04518681]
11,[0.]
87,[0.]
38,[0.]
27,[0.]
1,[0.]
45,[0.]
45,[0.]
58,[0.]
51,[0.]
87,[0.]
16,[0.01977392]
38,[0.]
96,[0.]
42,[0.00280479]
46,[0.]
50,[0.01878169]
82,[0.]
47,[0.]
11,[0.07594713]
30,[0.00541679]
16,[0.03660226]
13,[0.04948989]
73,[0.]
54,[0.]
9,[0.]
53,[0.]
28,[0.]
60,[0.]
10,[0.]
79,[0.01445091]
4,[0.14017338]
13,[0.]
8,[0.03896822]
4,[0.]
83,[0.]
18,[0.03161979]
65,[0.]
35,[0.]
1,[0.13017015]
100,[0.]
20,[0.]
10,[0.]
68,[0.]
17,[0.01127483]
6,[0.07622917]
12,[0.]
1,[0.09880228]
50,[0.]
7,[0.]
87,[0.]
72,[0.00611162]
13,[0.]
90,[0.]
55,[0.]
5,[0.0315869]
33,[0.]
18,[0.03958158]
14,[0.]
98,[0.]
9,[0.13559254]
70,[0.0037787]
1,[0.04534226]
100,[0.]
70,[0.]
