Number of Queries,Regret,Computation Time
43,[0.37017256],1.5808329582214355
33,[0.07320651],0.9705712795257568
16,[0.0561054],0.3150477409362793
19,[0.1059382],0.36849522590637207
30,[0.07230188],1.0099732875823975
13,[0.20760152],0.2590596675872803
123,[0.30826683],10.044445514678955
22,[0.22347968],0.6082367897033691
73,[-0.03494696],3.4043822288513184
124,[0.15404225],11.710540533065796
132,[-0.06354196],5.640996932983398
36,[0.13176409],1.1094274520874023
18,[0.11805841],0.40904903411865234
101,[0.21663718],6.698808431625366
34,[0.10055915],1.1081585884094238
24,[0.2206019],0.6614902019500732
76,[0.08591291],4.026072263717651
32,[0.11057131],1.3997137546539307
114,[0.12277932],8.157012224197388
24,[-0.10145607],0.633324146270752
112,[0.20168189],5.554610729217529
24,[0.03752023],0.6035506725311279
20,[0.13402386],0.4705624580383301
102,[0.10639726],3.8249869346618652
35,[0.03473197],1.1120407581329346
34,[0.21240193],1.1570584774017334
137,[0.00167887],5.638152122497559
25,[0.05190538],0.6119790077209473
21,[0.10151894],0.47435736656188965
83,[0.1231685],3.6217994689941406
89,[0.15718697],5.327408075332642
150,[0.0307091],8.863090991973877
72,[-0.00943492],3.458678960800171
53,[0.06876996],2.4303202629089355
24,[0.02525472],0.8418607711791992
111,[0.27611985],6.513031721115112
24,[-0.09885944],0.6634294986724854
27,[0.10201634],0.8272154331207275
52,[-0.01349965],2.252948522567749
110,[0.22228555],6.374979257583618
74,[0.19036973],6.025607347488403
30,[-0.002788],1.5153405666351318
16,[0.22731763],0.5068180561065674
25,[0.22228232],1.1166424751281738
62,[-0.09923891],3.652414321899414
25,[-0.06106721],0.8427047729492188
111,[0.10885342],5.738344430923462
28,[0.05751561],1.0749030113220215
94,[-0.05406009],4.541175603866577
28,[0.21224056],0.8268921375274658
83,[0.10695501],6.6159374713897705
21,[0.19549021],0.7032544612884521
16,[-0.05034776],0.48153114318847656
122,[0.26275109],7.458132982254028
143,[0.04026242],7.663429498672485
30,[0.19990712],1.1445341110229492
100,[0.15327704],4.471557855606079
104,[0.15915372],4.8606181144714355
104,[0.07475364],7.704678773880005
18,[0.13057217],0.4932572841644287
156,[0.24767585],7.676808834075928
49,[0.04996089],2.3278069496154785
21,[0.02416929],0.7536075115203857
103,[0.17986848],6.846916437149048
66,[-0.0197641],3.3995585441589355
20,[0.14484319],0.46750497817993164
23,[0.1532515],0.7475435733795166
33,[0.21286475],1.4202594757080078
108,[-0.00309977],8.013216018676758
28,[0.18536249],1.141063928604126
22,[0.04185461],1.0264148712158203
25,[0.14328838],0.7861382961273193
25,[0.36269529],0.7738101482391357
35,[0.43650726],1.03434157371521
43,[0.32720452],1.449131727218628
20,[0.04062917],0.43749284744262695
15,[0.25218905],0.2812068462371826
86,[0.00456201],3.786623239517212
119,[0.42409139],5.581823348999023
153,[0.02099011],6.981732368469238
25,[0.11831205],0.6775414943695068
26,[0.14347619],0.8228256702423096
60,[-0.01621814],2.844209671020508
22,[0.21985934],0.6487281322479248
25,[0.07902265],0.970928430557251
23,[0.11968583],0.9257049560546875
23,[0.10706768],0.865764856338501
87,[0.13197338],5.13283634185791
144,[0.08983622],7.916697978973389
29,[0.27678176],1.3375048637390137
22,[0.14183052],0.6157407760620117
34,[0.12430616],1.4078302383422852
21,[0.31031942],0.7153763771057129
20,[0.10903087],0.631096363067627
148,[0.18486013],10.006011724472046
107,[0.13559357],7.454354763031006
109,[0.12655888],4.944437026977539
76,[-0.18173251],3.9220170974731445
25,[0.06857005],0.6412906646728516
32,[0.21242532],1.053826093673706
