Number of Queries,Regret,Computation Time
62,[0.29561488],5.143580675125122
48,[0.14673349],2.898763418197632
44,[0.13064755],1.817152738571167
99,[0.11380154],8.269134044647217
37,[0.1347754],2.455167531967163
82,[0.07295714],8.469170093536377
110,[0.21754069],21.43933916091919
60,[-0.06378016],4.769333839416504
63,[0.07688042],9.457579612731934
69,[0.12157629],5.789001226425171
87,[0.22078772],5.692261695861816
99,[0.18762019],7.2484211921691895
102,[0.3128972],6.309983730316162
65,[0.17938147],4.332442760467529
61,[0.14915896],4.801690578460693
29,[0.05480194],1.3175451755523682
76,[0.00723354],6.5991528034210205
84,[-0.07558628],7.391678094863892
55,[0.13314299],2.4571683406829834
96,[0.27062657],7.393439292907715
32,[0.19718792],1.6282081604003906
89,[0.1978856],5.549747943878174
66,[0.15067686],4.590027570724487
25,[0.23747536],1.138899326324463
43,[-0.04979099],2.2467308044433594
43,[0.07794906],2.44844651222229
59,[0.19469859],4.435060977935791
94,[0.25764133],5.87431788444519
64,[0.01108003],14.56767988204956
65,[0.24745818],7.313390731811523
100,[0.11559392],13.047763109207153
31,[0.11282136],1.5795519351959229
70,[0.19438641],6.343210935592651
90,[0.15997226],8.999215364456177
108,[0.25579816],9.606557130813599
67,[0.17466809],4.357042551040649
67,[0.1104549],7.397780895233154
34,[0.11683709],2.1271119117736816
48,[0.02112859],4.065638065338135
95,[0.26049634],8.061710834503174
22,[-0.04561928],1.2566494941711426
141,[0.02583763],9.800493955612183
116,[0.16634388],8.736640453338623
43,[0.13193949],2.499807119369507
42,[0.22634403],2.3887746334075928
56,[0.07296771],3.733308792114258
35,[-0.05314744],1.7442634105682373
31,[0.00123981],1.691117525100708
58,[0.12439549],3.9899981021881104
81,[0.01013378],4.83903956413269
82,[0.1029406],8.353211641311646
99,[0.20962594],9.334383010864258
72,[0.07833639],6.884788274765015
35,[0.0600256],2.1394875049591064
58,[0.08531938],3.6598379611968994
18,[0.14779654],0.7220182418823242
59,[0.1470009],4.675922870635986
56,[0.29923971],5.230184078216553
74,[0.20207368],7.29552698135376
67,[0.29647619],5.358994722366333
81,[0.21126127],13.150695562362671
42,[0.02401239],2.1753933429718018
32,[0.05444442],1.6745636463165283
54,[0.06686158],3.3912081718444824
39,[0.23879818],1.9970667362213135
99,[-0.09406344],8.13032579421997
64,[0.26839837],6.527005672454834
71,[0.10627702],8.169289112091064
92,[0.04466635],8.607307434082031
120,[0.25876567],9.600960969924927
38,[0.03222857],2.0686864852905273
97,[0.10669488],8.823082208633423
49,[0.0959856],3.3084545135498047
51,[-0.17231103],3.285365104675293
57,[0.27538273],4.630809307098389
70,[0.09330568],3.781092882156372
118,[0.17196048],10.009716272354126
92,[0.17962711],6.490088224411011
84,[0.30099025],6.6237547397613525
23,[0.13333144],1.0588407516479492
29,[0.00112839],1.2748157978057861
32,[-0.01964843],1.4270238876342773
53,[0.23588037],2.45304536819458
95,[0.07956494],9.674816846847534
114,[0.13917781],6.745861291885376
57,[-0.02429357],4.47614860534668
58,[0.10581506],5.502479314804077
70,[0.45133166],5.781530380249023
96,[0.01715227],8.757320880889893
76,[0.16706901],6.0680060386657715
50,[0.12901837],3.398360252380371
91,[0.20105098],5.379389524459839
47,[0.16208683],2.853065252304077
23,[-0.04399782],0.8998117446899414
96,[0.13921248],5.839677095413208
21,[-0.01845977],0.8995418548583984
48,[0.15543119],3.2124578952789307
124,[0.02312592],11.663350582122803
65,[0.20999098],4.770629405975342
40,[0.04247653],2.4078776836395264
