Number of Queries,Regret
4,[0.]
68,[0.]
13,[0.00737421]
11,[0.]
70,[0.]
51,[0.]
32,[0.16121459]
41,[5.81985778e-05]
5,[0.]
9,[0.01389606]
45,[0.00094207]
6,[0.01453593]
47,[0.]
67,[0.00159194]
43,[0.]
4,[0.00030084]
9,[2.53368959e-05]
98,[0.]
38,[0.00459539]
3,[0.0089276]
82,[0.]
35,[0.]
32,[0.04112351]
2,[0.00027996]
54,[0.]
71,[0.]
8,[0.]
65,[0.]
26,[0.]
3,[0.]
37,[0.]
80,[0.]
58,[0.]
91,[0.]
32,[0.]
4,[9.4442623e-05]
87,[0.]
81,[0.]
3,[0.]
30,[0.00131858]
73,[0.]
3,[0.13468153]
49,[0.]
77,[0.]
51,[0.]
99,[0.]
55,[0.00148862]
60,[0.]
39,[0.00025715]
60,[0.]
8,[0.03222085]
47,[0.]
37,[0.00157067]
2,[0.15991182]
2,[0.1113373]
46,[0.02955765]
10,[9.7727375e-05]
75,[0.]
39,[0.]
24,[0.00258345]
63,[0.]
42,[0.04153135]
15,[0.]
90,[0.]
88,[1.63473475e-05]
87,[0.]
35,[7.48076431e-05]
18,[0.00261053]
32,[0.]
4,[0.06489928]
5,[0.]
33,[0.]
66,[0.]
2,[0.00152727]
58,[0.]
11,[0.13854088]
6,[0.02561588]
32,[0.]
55,[0.]
32,[0.]
71,[0.]
87,[0.]
91,[0.]
94,[0.]
28,[0.03316235]
62,[0.]
93,[0.]
51,[0.00388653]
49,[0.00328184]
85,[0.]
54,[0.]
6,[0.00014235]
5,[0.01292304]
23,[0.00627055]
35,[0.]
31,[0.]
78,[0.]
51,[0.]
2,[0.07588608]
22,[0.01828255]
