Number of Queries,Regret,Computation Time
72,[-0.13393232],5.024786472320557
22,[0.23124404],0.9401829242706299
112,[0.25268736],10.436696529388428
34,[0.05434076],1.794452428817749
29,[0.12232924],1.3952980041503906
115,[0.02756525],10.945003271102905
21,[0.24048512],0.8007025718688965
65,[0.01653464],4.699268102645874
70,[0.08106781],4.9036924839019775
63,[0.01933621],4.180844068527222
48,[0.09911099],2.9857115745544434
23,[0.25969921],1.0298290252685547
107,[0.19685318],8.239110946655273
65,[0.19762298],4.106454133987427
120,[0.1133555],9.423771142959595
54,[-0.08124066],3.298814058303833
100,[0.09738332],7.796586513519287
107,[0.07418898],10.455549478530884
85,[0.07694918],7.056304693222046
82,[-0.00217812],6.788369417190552
105,[0.10283138],8.302542209625244
70,[0.06089498],5.319480657577515
58,[0.18476763],5.262702226638794
39,[-0.0132613],2.899141311645508
71,[-0.00036044],4.975223541259766
113,[0.00760406],11.058594703674316
56,[0.05314839],3.661656141281128
115,[0.028966],13.581649780273438
84,[-0.05282691],7.882631301879883
77,[0.13704221],5.980401039123535
63,[0.38762635],4.668485879898071
100,[0.15671189],8.745383024215698
74,[0.17566704],5.669889211654663
58,[0.00337534],4.366215229034424
73,[-0.05233082],4.7155773639678955
25,[-0.02825663],1.2067296504974365
135,[0.05153718],9.664568901062012
76,[-0.00998225],6.473268985748291
62,[0.07005125],4.48408317565918
48,[0.03850783],3.256211042404175
24,[0.16574624],1.0471303462982178
39,[0.00712764],2.64552903175354
52,[-0.04369611],3.630805015563965
75,[-0.0176],6.332178592681885
41,[0.08045495],2.3279027938842773
33,[0.14811925],1.6063556671142578
75,[-0.08880026],6.572319984436035
43,[0.18431341],2.992098808288574
71,[-0.14615699],6.07692813873291
92,[0.03938119],9.209566354751587
23,[-0.04135676],1.244074821472168
111,[0.00677803],9.346447944641113
157,[0.12823327],16.110578298568726
75,[0.04188818],6.2330193519592285
43,[0.13834882],2.5767736434936523
52,[0.24308115],3.7999167442321777
17,[0.02200549],0.611422061920166
34,[0.0362817],2.1581785678863525
69,[0.11352018],5.201489210128784
64,[0.01676324],4.255755424499512
62,[-0.14374829],5.0822975635528564
21,[0.25710123],1.1232612133026123
19,[0.04891426],1.0151216983795166
37,[0.20668923],2.2126975059509277
75,[0.0356314],13.570961236953735
85,[-0.02776909],7.8738603591918945
93,[0.03905148],7.528411626815796
84,[0.04590343],6.468122243881226
79,[0.02221493],6.745234966278076
20,[0.09457699],0.746462345123291
68,[0.316106],5.615394353866577
44,[-0.12582621],2.59356427192688
20,[0.19669105],0.8421871662139893
26,[-0.06889189],1.7572717666625977
29,[0.13445945],1.5061924457550049
104,[0.1535636],7.598989248275757
35,[0.09237599],1.6712841987609863
75,[-0.02347427],5.548025846481323
65,[0.13524557],4.564265489578247
73,[0.13945776],5.310551643371582
67,[0.25480488],5.226730108261108
22,[0.01754722],1.2374365329742432
81,[0.0951731],6.367602348327637
29,[0.09583805],1.7213191986083984
59,[0.08995447],4.888368129730225
22,[0.27734354],1.0930595397949219
94,[0.3435021],6.898499011993408
63,[0.10892149],5.05670428276062
22,[-0.10803616],0.9603428840637207
41,[0.03133104],2.912815570831299
41,[0.10884967],2.0563502311706543
82,[0.13400262],7.180510759353638
45,[0.26739086],2.691722869873047
22,[0.2358096],1.1881980895996094
20,[0.19747215],1.1640653610229492
60,[0.11843312],4.995761871337891
22,[0.13883238],0.8004894256591797
68,[-0.00455934],4.696204662322998
71,[0.09349764],5.149782657623291
49,[0.04442782],2.862457036972046
