Number of Queries,Regret
103,[0.]
140,[0.]
237,[0.]
102,[0.]
100,[0.]
182,[0.]
150,[0.]
38,[0.]
271,[0.]
148,[0.]
101,[0.]
100,[0.]
104,[0.]
67,[0.]
101,[0.]
101,[0.]
73,[0.]
180,[0.]
100,[0.]
123,[0.]
138,[0.]
57,[0.]
238,[0.]
122,[0.]
93,[0.]
175,[0.]
170,[0.]
157,[0.]
98,[0.]
140,[0.]
77,[0.]
100,[0.]
148,[0.]
172,[0.]
103,[0.]
183,[0.]
64,[0.]
187,[0.]
128,[0.]
166,[0.]
161,[0.]
126,[0.]
156,[0.]
82,[0.]
100,[0.]
152,[0.]
201,[0.]
159,[0.]
150,[0.]
90,[0.]
104,[0.]
154,[0.]
148,[0.]
244,[0.]
99,[0.]
183,[0.]
100,[0.]
84,[0.]
104,[0.]
146,[0.]
44,[0.]
96,[0.]
152,[0.]
143,[0.]
94,[0.]
82,[0.]
87,[0.]
103,[0.]
57,[0.]
100,[0.]
103,[0.]
182,[0.]
153,[0.]
205,[0.]
119,[0.]
144,[0.]
65,[0.]
170,[0.]
64,[0.]
118,[0.]
104,[0.]
106,[0.]
116,[0.]
99,[0.]
186,[0.]
84,[0.]
141,[0.]
115,[0.]
157,[0.]
154,[0.]
165,[0.]
160,[0.]
130,[0.]
61,[0.]
77,[0.]
101,[0.]
121,[0.]
142,[0.]
262,[0.]
160,[0.]
