Number of Queries,Regret,Computation Time
20,[0.13716459],0.46081018447875977
68,[0.17455061],3.003919839859009
54,[0.04310281],2.173811674118042
90,[-0.10374751],5.154826402664185
25,[0.18046224],0.693030834197998
22,[0.10208783],0.5119085311889648
59,[0.04317842],2.6167402267456055
26,[0.09725269],0.6648650169372559
65,[-0.12616987],2.9088871479034424
58,[0.05453746],2.2278034687042236
43,[0.21936477],1.487825870513916
36,[0.13756841],1.2463200092315674
55,[0.02523149],2.119685173034668
44,[0.11793983],1.6758017539978027
80,[-0.00230527],3.917126417160034
47,[0.002507],1.7662839889526367
73,[0.23928086],3.5767838954925537
57,[0.1014085],2.2522621154785156
82,[0.15781596],3.9616665840148926
42,[0.2134008],1.35758376121521
63,[0.16899509],2.765862226486206
101,[0.15082269],5.928152799606323
87,[0.05816271],4.630147695541382
32,[0.28957116],0.7954607009887695
42,[0.16467684],1.1999056339263916
74,[0.45487364],3.818246603012085
23,[0.11056048],0.6412830352783203
20,[0.23523135],0.4881105422973633
53,[0.18962592],1.7729735374450684
43,[0.40076001],1.587663173675537
29,[0.02113751],0.8912920951843262
49,[0.26955658],1.8334147930145264
73,[0.26589503],3.0177953243255615
95,[0.177925],5.211353778839111
97,[0.08043373],5.167299270629883
40,[0.01000921],1.2721855640411377
120,[0.05433289],8.850486755371094
66,[0.05808379],3.2058980464935303
59,[0.15058881],2.234774112701416
113,[0.36729752],6.434086561203003
69,[-0.07322175],3.0265603065490723
69,[0.12426239],3.2412474155426025
87,[0.07332059],3.8865694999694824
75,[-0.16787029],3.763183355331421
48,[0.1520605],1.7474408149719238
25,[0.16837],0.65468430519104
23,[0.10253044],0.6281471252441406
108,[-0.04427024],6.240710258483887
62,[0.15528037],2.7031335830688477
78,[0.24146692],3.6272709369659424
18,[0.22349686],0.4280674457550049
91,[0.11956068],5.422391176223755
127,[0.05333937],8.309402227401733
52,[0.07884672],2.050196647644043
22,[0.15048241],0.6303269863128662
22,[0.26860504],0.5672793388366699
87,[0.03082472],4.516283273696899
56,[-0.18046227],2.3155558109283447
46,[-0.02118425],1.562089443206787
77,[-0.06199397],3.5719165802001953
32,[0.17695968],0.8880681991577148
139,[0.33933245],8.134001016616821
69,[0.12869322],3.0738041400909424
25,[0.1452723],0.6557669639587402
40,[0.08713629],1.273482084274292
95,[0.07207863],5.437241077423096
108,[0.04990846],7.494166374206543
22,[0.28641477],0.5330140590667725
52,[0.07316628],2.0522286891937256
23,[0.22317737],0.6410548686981201
106,[0.19924837],7.165485858917236
35,[0.12138139],0.9400296211242676
110,[0.12813973],7.278863906860352
90,[0.13037471],5.009155988693237
82,[0.22557211],3.568371534347534
44,[-0.11084541],1.4106626510620117
27,[0.00519358],0.7634613513946533
90,[0.14825419],5.335423231124878
64,[0.1195407],2.6226541996002197
32,[0.09608082],0.9723584651947021
96,[0.04339575],5.520772218704224
31,[0.15183157],0.9421112537384033
41,[0.04025765],1.2821388244628906
23,[0.04599192],0.577803373336792
117,[0.15530188],7.004505634307861
78,[0.28226002],3.9817001819610596
18,[0.28120415],0.39452385902404785
48,[0.05421906],1.8141090869903564
77,[0.21216626],3.6481316089630127
115,[0.24888947],8.763644695281982
23,[0.01531815],0.553062915802002
83,[0.12031787],4.065014123916626
49,[0.02989341],1.8282995223999023
78,[0.24913905],3.860201597213745
64,[-0.16367026],2.9047563076019287
23,[0.14790305],0.5952389240264893
34,[0.21402652],0.9713649749755859
41,[0.04672091],1.3989667892456055
75,[-0.12822236],3.8006129264831543
38,[0.13627662],1.1717803478240967
