Number of Queries,Regret,Computation Time
92,[0.10811002],6.834814786911011
30,[0.26260021],1.3162939548492432
134,[0.0110883],10.321355104446411
28,[0.17871199],1.2642991542816162
29,[0.00564844],1.5294771194458008
100,[0.15125287],7.544862270355225
43,[-0.08932912],2.315075159072876
105,[-0.05997918],8.02314305305481
26,[0.26830176],1.020371913909912
22,[0.10941538],0.8285958766937256
42,[-0.10554364],2.5636253356933594
22,[0.17910123],0.9039714336395264
103,[0.06728456],6.9071502685546875
55,[0.17257417],3.3673434257507324
17,[-0.00782529],0.4932515621185303
38,[0.14542079],1.8257484436035156
75,[0.18417504],4.2850892543792725
92,[0.38630295],6.052567720413208
89,[0.21989435],7.075632333755493
67,[0.04927755],5.128000736236572
102,[0.01353778],6.131340742111206
28,[0.09316666],1.3770763874053955
28,[0.12410893],1.1412525177001953
78,[-0.03555281],5.668051242828369
18,[0.24885155],0.6139588356018066
30,[0.18850609],1.5953083038330078
47,[0.03927507],2.9423828125
26,[0.01169361],1.086974859237671
72,[-0.08332158],4.8782572746276855
80,[-0.09036129],6.587027549743652
92,[0.30063804],6.741349935531616
78,[-0.09601907],5.115978717803955
19,[0.26200454],0.6049814224243164
25,[0.18790918],0.9797592163085938
83,[0.08166782],4.675662994384766
26,[0.11404539],1.1291263103485107
81,[0.26543522],6.65344762802124
28,[0.14710866],1.1414024829864502
53,[0.0324899],2.9521963596343994
42,[0.12117167],2.6165549755096436
44,[0.05544806],2.386248826980591
26,[0.19520325],0.988713264465332
19,[0.3586697],0.7389283180236816
99,[0.12742017],8.314879179000854
41,[-0.14935895],2.241419553756714
76,[0.22614614],5.83650803565979
109,[0.09676145],7.521861553192139
23,[0.02088602],1.0333681106567383
93,[0.16378543],7.286809921264648
31,[-0.03125474],1.329676628112793
26,[0.09016751],1.1657252311706543
85,[0.33921507],6.148782014846802
20,[0.03622075],0.8046863079071045
86,[0.23347554],7.560955047607422
26,[0.16834833],1.1811974048614502
142,[0.2021992],8.28972578048706
21,[0.07893672],0.7611210346221924
88,[0.02402389],5.807390213012695
45,[-0.00414614],2.8294153213500977
27,[0.13532582],1.0671281814575195
30,[0.01277901],1.781428337097168
85,[0.28562137],5.560725450515747
26,[0.18411383],1.0474107265472412
21,[0.13735712],0.7912147045135498
17,[-0.0172978],0.6142287254333496
31,[0.14662555],1.5312964916229248
103,[0.23924947],6.351139783859253
45,[-0.07041147],2.3514747619628906
52,[0.10602157],3.158392906188965
56,[0.24762072],3.239715099334717
24,[0.12881967],1.1575970649719238
116,[0.0808617],11.680937051773071
50,[-0.09149698],2.811664581298828
107,[0.29509435],7.216639995574951
64,[0.10886378],3.859842300415039
67,[-0.00962269],4.571873188018799
75,[0.15372929],5.3589842319488525
23,[0.31365822],0.9733579158782959
41,[0.19686013],3.1756274700164795
87,[-0.05732795],5.9174346923828125
24,[0.16589457],0.9232268333435059
93,[0.18700274],7.525786638259888
110,[-0.08320011],12.153485774993896
56,[0.01398989],5.386532545089722
22,[0.01801536],0.7733116149902344
26,[-0.02688015],1.4671223163604736
72,[0.40023649],8.08889389038086
85,[0.17072469],6.573650598526001
90,[0.03802161],9.462087392807007
108,[0.08683424],7.486932754516602
101,[0.22107577],7.763433456420898
75,[0.03429722],5.225943088531494
92,[-0.03008585],9.510085582733154
98,[0.30662219],6.298133611679077
24,[0.10535225],1.0565738677978516
13,[0.02561458],0.32997918128967285
29,[0.04086575],1.2434771060943604
23,[0.06981848],0.8988547325134277
26,[0.28733092],1.0601105690002441
20,[0.08502296],0.678539514541626
